,code,areaName,houseType,households,HouseholdSize,Households
538,W92000004,Wales,conversion,6842,h7,15162
539,W92000004,Wales,conversion,6842,h8plus,2738
540,W92000004,Wales,flats,126662,h0,0
541,W92000004,Wales,flats,126662,h1,429559
542,W92000004,Wales,flats,126662,h2,429559
543,W92000004,Wales,flats,126662,h3,472906
544,W92000004,Wales,flats,126662,h4,212281
545,W92000004,Wales,flats,126662,h5,157455
546,W92000004,Wales,flats,126662,h6,52304
547,W92000004,Wales,flats,126662,h7,15162
548,W92000004,Wales,flats,126662,h8plus,2738
549,W92000004,Wales,detached,384395,h0,0
550,W92000004,Wales,detached,384395,h1,429559
551,W92000004,Wales,detached,384395,h2,429559
552,W92000004,Wales,detached,384395,h3,472906
553,W92000004,Wales,detached,384395,h4,212281
554,W92000004,Wales,detached,384395,h5,157455
555,W92000004,Wales,detached,384395,h6,52304
556,W92000004,Wales,detached,384395,h7,15162
557,W92000004,Wales,detached,384395,h8plus,2738
558,W92000004,Wales,commercial,10489,h0,0
559,W92000004,Wales,commercial,10489,h1,429559
560,W92000004,Wales,commercial,10489,h2,429559
561,W92000004,Wales,commercial,10489,h3,472906
562,W92000004,Wales,commercial,10489,h4,212281
563,W92000004,Wales,commercial,10489,h5,157455
564,W92000004,Wales,commercial,10489,h6,52304
565,W92000004,Wales,commercial,10489,h7,15162
566,W92000004,Wales,commercial,10489,h8plus,2738
567,W92000004,Wales,sharedHouse,24451,h0,0
568,W92000004,Wales,sharedHouse,24451,h1,429559
569,W92000004,Wales,sharedHouse,24451,h2,429559
570,W92000004,Wales,sharedHouse,24451,h3,472906
571,W92000004,Wales,sharedHouse,24451,h4,212281
572,W92000004,Wales,sharedHouse,24451,h5,157455
